,001e0610ba46,001e0610ba15,001e0610ee33,001e0610ee82,001e0610ef27,001e061135cb,001e06113ad8,001e06112e77,001e0610f6db,001e06113107,001e06114fd4,001e0610e539,001e0610f703,001e0610e835,001e0610eef2,001e0610ee43,001e0610f05c,001e0610e537,001e06109416,001e06114503,001e06113dbc,001e061144c0,001e06113cf1,001e06113acb,001e06113f54,001e06114500,001e0610ba13
2018-10-08 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 00:01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 00:02:00,,,,,,,,,,,,,,,,,,,,0.10433,,,,,,,
2018-10-08 00:03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 00:04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 00:05:00,,,,,,,,,,,,,,,,,,,,,,,,,0.00058,,
2018-10-08 00:06:00,,,,,,,0.22543,,,,,,,,,,,,,,,,,,,,
2018-10-08 00:07:00,,,,,,,,,,,,,,,,,,,,,0.05256,,,0.15491,,,
2018-10-08 00:08:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 00:09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 00:10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 00:11:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 00:12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 00:13:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 00:14:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 00:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 00:16:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 00:17:00,,,,,,,,,,,,,,,,,,,,,,,,0.05826,,,
2018-10-08 00:18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 00:19:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 00:20:00,,,,,,,,,,,,,,,,,,,,,,,0.27487,,,,
2018-10-08 00:21:00,,,,,,,0.06606,,,,,,,,,,,,,,0.3685,,0.21297,,,,
2018-10-08 00:22:00,,,,,,,,,,,,,,,,,,,,,0.07859,,,,,,
2018-10-08 00:23:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 00:24:00,,,,,,,,,,,,,,,,,,,,,0.09027,,,,,,
2018-10-08 00:25:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 00:26:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 00:27:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 00:28:00,,,,,,,,,,,,,,,,,,,,,0.05308,,,,,,
2018-10-08 00:29:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 00:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 00:31:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 00:32:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 00:33:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 00:34:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 00:35:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 00:36:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 00:37:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 00:38:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 00:39:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 00:40:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 00:41:00,,,,,,,,,,,0.0185,,,,,,,,,,,,,0.02686,,,
2018-10-08 00:42:00,,,,,,,,,,,0.0266,,,,,,,,,,,,,,,,
2018-10-08 00:43:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 00:44:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 00:45:00,,,,,,,,,,,,,,,,,,,,,,,,0.10341,,,
2018-10-08 00:46:00,,,,,,,,,,,,,,,,,,,,,,,,0.03495,,,
2018-10-08 00:47:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 00:48:00,,,,,,,,,,,,,,,,,,,,,,,,0.0129,,,
2018-10-08 00:49:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 00:50:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 00:51:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 00:52:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 00:53:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 00:54:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 00:55:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 00:56:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 00:57:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 00:58:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 00:59:00,,,,,,,0.08398,,,,,,,,,,,,,,,,,,,,
2018-10-08 01:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 01:01:00,,,,,,,,,,,,,,,,,,,,,,,,,0.20503,,
2018-10-08 01:02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 01:03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 01:04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 01:05:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 01:06:00,,,,,,,,,,,,,,,,,,,,,,,,,,0.14736,
2018-10-08 01:07:00,,,,,,,0.27983,,,,,,,,,,,,,,0.17879,,,,,0.15379,
2018-10-08 01:08:00,,,,,,,0.52656,,,,,,,,,,,,,,,,,,,,
2018-10-08 01:09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 01:10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 01:11:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 01:12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 01:13:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 01:14:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
