,001e0610ba46,001e0610ba8f,001e0610bbf9,001e0610ba15,001e0610ee33,001e0610f8f4,001e0610ee41,001e0610eef4,001e0610ee82,001e0610ef27,001e0610fb4c,001e0610ee6f,001e0610ef68,001e0610ee36,001e061135cb,001e0610e532,001e0610ee5d,001e06113ad8,001e0611441e,001e06112e77,001e0610f6db,001e0611537d,001e06113107,001e06114fd4,001e06113ace,001e061146bc,001e0610e539,001e0610f703,001e0610e835,001e0610e538,001e0610eef2,001e0610ee43,001e0610f05c,001e0610f732,001e0610e537,001e06109416,001e06113d22,001e06114503,001e06113dbc,001e061144c0,001e06113cf1,001e06113acb,001e06113f54,001e06114500,001e06113a48,001e0611536c,001e0610ba13
2018-10-08 00:00:00,74.81,85.3,82.6,77.51,72.71,1.26,88.74,86.05,78.86,66.87,99.08,81.55,94.74,84.55,73.76,70.32,76.16,65.97,80.35,58.93,82.15,,64.18,96.98,76.31,89.19,85.0,74.21,72.12,64.18,86.8,77.81,80.35,76.46,92.94,84.55,89.64,92.64,79.46,78.11,66.57,90.09,74.81,89.64,82.9,94.29,90.84
2018-10-08 00:01:00,76.01,85.3,83.35,78.41,73.16,1.26,89.19,86.05,79.01,66.87,99.23,81.7,86.05,75.41,73.46,70.17,77.36,66.42,80.35,58.63,81.25,,64.48,96.53,64.33,88.74,85.0,74.21,71.07,64.77,87.25,78.11,81.4,76.61,92.49,83.5,89.79,93.69,80.05,77.36,66.87,88.29,83.2,89.49,79.01,93.09,90.84
2018-10-08 00:02:00,74.21,85.15,81.25,76.16,73.01,1.26,89.19,86.2,79.01,67.32,99.23,81.7,90.24,84.55,73.46,70.02,77.06,66.27,80.05,58.03,81.7,,64.18,96.38,76.76,87.84,84.7,73.16,72.56,64.92,87.1,77.81,80.65,77.06,92.34,83.05,89.34,93.39,80.05,78.26,66.57,89.64,82.75,89.64,82.3,95.48,90.99
2018-10-08 00:03:00,75.26,85.15,82.6,78.11,72.71,1.26,89.19,86.65,78.86,67.02,99.08,81.4,94.59,85.0,71.22,70.17,76.46,65.82,80.65,58.63,81.85,,64.62,91.14,76.61,87.99,84.55,74.36,72.71,64.92,86.65,77.81,81.1,76.76,92.04,73.91,89.49,93.84,80.35,77.51,66.72,89.94,83.8,89.94,78.11,93.24,90.69
2018-10-08 00:04:00,74.81,85.0,82.75,79.31,72.71,1.26,89.49,86.65,79.01,66.87,98.48,81.7,94.59,85.0,73.61,70.32,73.16,66.27,80.65,56.39,82.9,,64.33,96.08,77.36,88.29,84.4,73.91,72.86,64.92,86.8,78.11,79.91,77.21,91.89,83.8,89.94,92.94,79.61,77.51,66.42,90.24,83.2,90.09,82.6,96.38,90.99
2018-10-08 00:05:00,76.01,85.15,83.35,78.26,72.71,1.26,89.49,86.05,79.01,67.62,98.93,81.7,94.74,85.15,73.31,70.02,77.21,64.62,79.91,59.38,82.45,,64.48,96.38,76.31,89.04,84.25,73.76,72.12,64.92,86.8,79.16,81.55,76.91,92.19,83.35,89.49,92.64,79.76,77.66,63.58,90.09,83.2,89.49,82.3,95.63,90.84
2018-10-08 00:06:00,75.11,85.3,83.5,79.31,73.16,1.26,89.34,86.35,79.31,67.62,99.08,81.55,94.59,84.25,73.01,70.32,77.06,66.12,80.95,58.63,82.45,,65.22,96.38,75.86,88.89,84.55,74.36,72.27,63.73,86.65,78.41,81.1,76.76,92.79,83.65,89.49,79.31,79.46,76.76,66.72,89.34,83.95,89.79,79.46,96.38,90.39
2018-10-08 00:07:00,74.96,84.4,82.9,79.61,73.01,1.26,89.19,85.6,78.71,67.77,99.08,81.4,94.74,84.4,73.61,69.87,76.91,66.12,81.1,59.53,82.9,,64.18,92.64,77.06,87.99,84.7,73.31,71.82,64.18,86.65,77.51,81.25,76.91,92.49,84.7,89.64,92.94,80.35,77.96,67.02,90.24,83.65,89.79,84.7,95.19,90.69
2018-10-08 00:08:00,74.36,85.0,82.6,78.56,73.31,1.26,89.34,86.2,79.01,67.02,99.08,81.55,94.44,84.85,73.46,70.17,77.51,66.27,79.76,59.53,82.3,,64.92,95.93,75.41,88.89,84.85,73.91,72.27,64.62,87.25,77.96,82.0,76.91,92.34,83.5,89.94,93.09,79.31,77.21,66.72,90.39,83.05,90.09,82.0,96.53,91.14
2018-10-08 00:09:00,74.21,85.3,82.75,78.86,73.01,1.26,86.35,86.2,79.31,67.47,98.78,81.7,94.59,84.7,73.61,70.17,77.66,65.82,80.8,58.63,83.05,,64.18,95.93,77.21,88.14,84.55,74.36,72.71,64.92,86.95,76.61,82.0,68.07,92.49,83.8,89.49,93.09,78.71,77.21,67.32,89.94,83.5,94.14,79.16,95.93,91.14
2018-10-08 00:10:00,75.71,84.7,83.05,79.61,72.86,1.26,89.34,86.65,79.31,67.32,99.08,81.7,94.59,84.55,70.32,69.42,76.91,66.12,80.65,59.08,82.6,,64.18,96.23,77.66,88.29,85.0,72.71,72.27,64.03,86.8,78.26,78.86,76.61,83.05,84.55,89.34,92.94,80.05,78.56,67.32,90.24,83.65,89.94,78.41,92.94,90.39
2018-10-08 00:11:00,75.56,84.85,83.2,78.56,72.86,1.26,89.49,86.2,79.16,67.32,99.08,78.86,94.74,83.95,73.91,70.47,77.21,66.72,79.61,58.63,82.0,,64.18,96.68,76.31,88.89,85.0,74.06,71.97,63.88,86.95,77.21,82.0,76.76,92.94,83.8,89.19,93.99,79.76,74.51,67.02,89.19,83.2,94.44,78.26,94.74,90.39
2018-10-08 00:12:00,73.91,85.15,83.5,79.01,72.41,1.26,89.19,86.35,77.36,65.52,99.08,81.7,94.59,84.4,73.61,70.32,77.51,66.42,80.95,58.33,82.3,,63.88,96.08,74.21,88.74,84.85,73.16,72.27,65.37,86.65,78.41,81.7,76.31,92.34,83.65,85.15,92.79,80.2,77.96,66.57,89.94,79.46,90.09,84.1,96.53,81.4
2018-10-08 00:13:00,74.81,83.5,83.5,78.41,72.71,1.26,84.1,86.05,78.86,66.87,99.08,81.55,94.74,84.85,73.91,70.32,77.21,66.57,80.35,58.48,82.6,,64.48,95.48,77.36,88.74,85.0,70.17,71.97,64.33,86.65,77.96,81.85,76.76,92.79,83.65,89.64,92.94,79.91,77.36,67.02,90.24,82.9,89.79,85.6,93.09,90.24
2018-10-08 00:14:00,74.81,85.15,83.35,78.41,72.71,1.26,86.05,86.5,79.16,67.17,98.78,81.1,94.74,83.8,73.46,70.17,77.21,66.27,80.65,59.08,82.3,,64.62,95.78,76.46,88.59,84.7,74.21,71.82,64.18,86.2,73.16,82.15,76.76,91.74,84.7,89.79,92.79,79.31,77.81,65.97,90.09,83.2,89.79,82.45,95.04,90.84
2018-10-08 00:15:00,75.26,84.55,83.2,78.26,73.01,1.26,89.49,85.6,79.01,67.32,98.93,81.55,94.89,84.4,73.61,65.07,77.51,66.27,80.95,58.63,82.75,,64.03,96.38,76.76,89.04,84.25,72.86,71.97,65.07,86.8,78.11,80.8,76.91,91.89,83.95,90.09,93.54,79.91,77.51,66.87,89.79,82.9,94.59,82.15,96.68,90.39
2018-10-08 00:16:00,75.56,84.4,83.2,77.51,73.01,1.26,89.34,86.35,79.16,67.62,97.88,81.55,94.74,82.9,73.46,70.47,77.66,66.57,79.61,58.93,82.9,,64.62,96.68,76.76,89.04,84.85,74.21,71.97,64.62,86.95,77.21,82.0,76.76,92.49,84.55,89.64,93.69,79.31,77.51,66.72,88.89,69.12,88.89,82.6,96.83,90.84
2018-10-08 00:17:00,75.56,85.3,83.65,78.11,73.01,1.26,89.34,86.65,78.26,67.77,99.23,81.55,94.74,84.55,73.16,70.17,76.76,66.12,80.35,58.93,82.3,,64.48,96.08,77.66,88.29,84.85,71.97,72.41,65.22,87.1,77.21,80.5,77.06,91.44,76.91,89.64,93.99,80.2,77.81,66.12,90.09,83.65,89.94,78.86,95.93,91.14
2018-10-08 00:18:00,75.56,85.3,83.05,78.56,73.01,1.26,89.19,86.5,79.31,67.77,98.93,80.35,94.44,83.8,73.31,69.87,76.76,66.27,80.65,58.63,82.45,,64.62,95.63,76.46,88.89,83.95,73.31,72.12,64.92,86.95,77.36,80.35,76.61,92.79,84.25,89.64,92.94,79.91,78.11,67.17,89.19,83.8,89.64,83.5,93.69,90.09
2018-10-08 00:19:00,74.96,85.15,83.05,79.46,73.31,1.26,89.64,85.9,78.86,67.62,98.78,81.55,95.04,84.55,73.46,70.32,76.46,65.82,80.35,58.78,82.75,,64.92,95.93,77.51,89.04,84.85,72.71,71.97,64.03,73.46,78.11,80.5,76.91,92.34,83.5,89.49,92.79,80.2,77.96,66.72,89.79,82.45,89.64,82.45,96.23,89.94
2018-10-08 00:20:00,75.86,85.0,83.5,78.41,72.12,1.26,89.19,86.05,79.16,67.47,99.08,81.4,94.59,84.25,73.01,70.32,76.61,65.82,80.95,59.23,82.45,,64.03,95.63,76.61,88.89,84.55,74.06,72.86,63.43,86.95,76.76,80.8,76.61,92.34,84.85,89.64,92.19,79.91,77.66,65.22,90.24,82.75,94.44,83.05,96.23,90.24
2018-10-08 00:21:00,74.96,80.95,83.2,78.56,73.01,1.26,89.34,86.5,78.86,67.62,98.93,81.55,94.89,82.45,73.46,70.32,77.06,66.12,79.46,58.48,82.6,,64.33,96.68,75.86,89.19,84.55,74.06,72.56,65.07,87.4,77.06,81.55,73.01,92.34,84.7,89.64,93.84,80.05,77.96,66.87,88.74,83.95,89.79,82.45,92.94,90.84
2018-10-08 00:22:00,75.26,85.0,83.8,72.86,73.46,1.26,89.34,86.2,78.56,67.62,98.93,81.55,94.44,84.1,73.61,70.17,76.76,66.27,80.35,59.38,82.9,,64.03,92.94,76.31,86.95,85.15,74.06,72.56,64.48,86.95,77.06,80.8,77.21,92.34,83.65,88.59,94.29,80.35,77.81,67.32,87.1,83.35,89.79,82.15,97.43,90.84
2018-10-08 00:23:00,75.26,85.0,82.6,78.71,72.86,1.26,89.49,86.35,79.01,64.92,99.08,81.4,94.89,83.95,73.31,69.87,76.76,66.27,80.8,59.38,82.3,,64.62,87.55,76.76,88.59,85.0,73.91,73.01,64.62,86.65,77.36,80.95,64.92,92.04,83.5,89.64,94.14,80.35,77.66,67.17,90.24,83.8,89.94,78.56,96.38,90.69
2018-10-08 00:24:00,74.66,85.3,83.8,78.71,72.41,1.26,89.49,85.75,79.16,66.72,99.08,81.55,94.29,84.55,72.27,70.17,77.06,66.42,79.91,59.23,82.45,,65.22,96.38,77.81,83.65,85.15,73.31,71.82,64.03,86.35,77.36,79.46,76.91,93.09,83.65,89.79,94.29,79.61,77.66,66.57,90.54,83.5,89.94,85.6,94.29,85.6
2018-10-08 00:25:00,74.36,85.0,83.95,79.01,72.86,1.26,89.34,86.2,79.01,67.47,99.23,81.25,94.59,84.25,73.76,70.32,77.06,64.33,76.76,58.48,82.9,,65.07,96.23,75.56,89.04,84.4,72.86,73.46,64.48,87.1,77.96,82.15,76.91,91.89,85.15,89.94,93.39,80.5,68.67,66.87,90.84,83.5,89.34,82.3,93.39,90.99
2018-10-08 00:26:00,75.41,85.3,83.2,79.16,72.12,1.26,89.64,86.5,79.01,67.62,99.08,81.55,94.59,84.25,73.01,70.17,76.76,66.57,80.35,57.13,82.3,,64.92,96.68,76.01,88.29,84.7,72.56,73.01,64.33,85.9,77.06,81.1,76.76,92.19,84.4,89.49,92.64,79.31,77.66,66.87,90.24,83.2,89.79,82.15,92.94,90.84
2018-10-08 00:27:00,77.21,85.15,83.35,79.16,73.46,1.26,88.29,85.9,78.56,67.77,99.08,81.4,94.59,84.25,73.31,70.32,76.76,66.72,80.35,58.48,82.9,,64.62,96.68,77.21,88.29,84.25,74.06,72.71,58.18,86.2,77.96,81.25,76.76,92.04,83.65,89.79,93.54,79.31,77.81,66.72,90.69,83.35,89.79,82.6,95.63,90.99
2018-10-08 00:28:00,74.66,85.3,80.95,79.61,72.71,1.26,88.89,86.05,78.86,67.47,99.23,81.7,93.69,84.55,73.46,70.32,76.61,66.57,80.05,58.03,82.6,,64.92,96.23,76.46,88.89,84.25,74.21,72.86,65.22,86.95,76.76,80.35,76.46,92.94,83.65,90.09,93.39,80.2,77.51,66.72,90.24,83.5,89.94,78.71,92.49,90.69
2018-10-08 00:29:00,74.96,85.3,83.2,77.36,73.16,1.26,89.04,86.35,78.86,67.62,99.23,81.1,94.29,84.4,73.46,70.47,77.36,66.57,80.2,58.63,82.75,,64.03,96.23,77.36,88.44,85.15,73.46,72.56,64.48,86.95,77.21,81.55,76.91,91.89,84.1,89.64,94.14,79.46,77.66,66.72,89.94,83.5,89.79,82.6,97.13,90.69
2018-10-08 00:30:00,75.56,80.65,83.2,79.46,72.71,1.26,89.64,86.2,79.01,67.32,99.23,81.4,94.44,84.85,73.61,70.17,77.66,66.27,81.1,58.93,82.75,,64.62,96.68,76.31,88.44,83.5,66.72,71.82,65.37,86.95,77.36,80.5,76.91,86.2,84.7,89.79,92.34,80.05,77.21,67.17,79.46,83.05,94.44,79.01,93.54,91.14
