,001e0610ba46,001e0610ba8f,001e0610bbf9,001e0610ba15,001e0610ee33,001e0610f8f4,001e0610ee41,001e0610eef4,001e0610ee82,001e0610ef27,001e0610fb4c,001e0610ef68,001e0610ee36,001e061135cb,001e0610e532,001e0610ee5d,001e06113ad8,001e0611441e,001e06112e77,001e0610f6db,001e0611537d,001e06113107,001e06114fd4,001e06113ace,001e061146bc,001e0610e539,001e0610f703,001e0610e835,001e0610e538,001e0610eef2,001e0610ee43,001e0610f05c,001e0610f732,001e0610e537,001e06109416,001e06113d22,001e06114503,001e06113dbc,001e061144c0,001e06113cf1,001e06113acb,001e06113f54,001e06114500,001e06113a48,001e0611536c,001e0610ba13
2018-10-08 00:00:00,1.832,0.032,2.355,3.324,2.745,,0.628,1.199,2.163,0.013,1.581,,25.603,0.03,0.011,2.252,1.339,7.174,24.833,0.022,,25.676,25.326,,,25.512,7.885,,1.703,2.147,88.165,1.422,3.788,25.66,25.515,25.242,67.842,1.851,1.581,24.267,2.206,25.749,,24.943,2.088,0.054
2018-10-08 00:01:00,1.773,0.024,2.357,3.324,2.68,,0.614,1.223,2.126,0.013,1.571,,25.606,0.024,0.008,2.239,1.312,7.19,24.714,0.022,,25.679,25.466,,,25.509,8.359,,1.703,2.15,88.165,1.422,3.758,25.663,25.515,25.242,69.402,1.853,1.579,24.572,2.142,25.598,,25.49,2.069,0.059
2018-10-08 00:02:00,1.81,0.035,2.355,3.33,2.74,,0.617,1.212,2.209,0.011,1.573,,25.603,0.024,0.005,2.233,1.334,7.115,26.067,0.022,,25.676,25.092,,,25.509,8.068,,1.703,2.147,88.165,1.422,3.761,25.66,25.515,25.24,68.284,1.851,1.573,24.644,2.144,25.859,,25.62,2.064,0.057
2018-10-08 00:03:00,1.824,0.027,2.357,3.33,2.848,,0.62,1.204,2.166,0.011,1.562,,25.601,0.027,0.011,2.204,1.336,7.096,25.102,0.022,,25.679,25.87,,,25.512,8.074,,1.7,2.15,88.165,1.422,3.753,25.66,25.515,25.245,68.378,1.853,1.576,25.253,2.136,25.66,,24.731,2.064,0.057
2018-10-08 00:04:00,1.783,0.035,2.352,3.327,2.821,,0.622,1.258,2.196,0.011,1.576,,25.603,0.027,0.005,2.223,1.323,7.066,24.704,0.024,,25.679,24.865,,,25.509,7.807,,1.705,2.15,88.165,1.422,3.774,25.663,25.512,25.245,69.37,1.848,1.587,27.637,2.128,25.509,,24.903,2.093,0.057
2018-10-08 00:05:00,1.832,0.038,2.355,3.327,2.807,,0.622,1.272,2.187,0.013,1.587,,25.603,0.024,0.005,2.241,1.29,7.131,25.983,0.022,,25.682,24.962,,,25.512,7.909,,1.703,2.147,88.165,1.422,3.772,25.66,25.515,25.245,68.004,1.856,1.573,25.533,2.12,25.399,,25.043,2.126,0.057
2018-10-08 00:06:00,1.783,0.035,2.355,3.324,2.872,,0.625,1.261,2.206,0.013,1.568,,25.603,0.027,0.005,2.258,1.285,7.012,25.229,0.022,,25.679,25.878,,,25.506,8.117,,1.703,2.142,88.165,1.422,3.758,25.66,25.515,25.24,69.159,1.848,1.546,25.054,2.233,25.851,,24.978,2.126,0.057
2018-10-08 00:07:00,1.781,0.032,2.355,3.327,2.654,,0.625,1.25,2.209,0.011,1.573,,25.601,0.024,0.005,2.249,1.274,7.037,25.628,0.022,,25.682,24.706,,,25.512,7.963,,1.703,2.15,88.165,1.422,3.755,25.657,25.517,25.242,69.38,1.851,1.562,24.165,2.182,25.902,,24.709,2.152,0.057
2018-10-08 00:08:00,1.802,0.024,2.355,3.33,2.659,,0.62,1.274,2.228,0.011,1.557,,25.601,0.022,0.003,2.252,1.32,7.069,24.987,0.022,,25.679,24.553,,,25.512,8.214,,1.7,2.136,88.165,1.422,3.734,25.657,25.515,25.242,69.24,1.851,1.568,23.863,2.236,25.054,,25.889,2.196,0.057
2018-10-08 00:09:00,1.853,0.027,2.357,3.327,2.694,,0.625,1.261,2.166,0.013,1.565,,25.601,0.024,0.005,2.22,1.258,7.099,24.844,0.022,,25.679,24.539,,,25.512,7.842,,1.703,2.147,88.165,1.42,3.798,25.66,25.515,25.24,69.351,1.851,1.546,27.678,2.239,25.48,,25.929,2.314,0.054
2018-10-08 00:10:00,1.816,0.032,2.355,3.33,2.678,,0.62,1.263,2.212,0.011,1.568,,25.598,0.027,0.011,2.182,1.253,6.692,25.364,0.022,,25.679,24.566,,,25.509,8.203,,1.703,2.15,88.165,1.42,3.785,25.66,25.515,25.24,67.974,1.851,1.576,24.351,2.252,25.989,,26.078,2.357,0.054
2018-10-08 00:11:00,1.851,0.03,2.352,3.324,2.713,,0.614,1.298,2.223,0.013,1.554,,25.595,0.027,0.003,2.212,1.261,6.732,25.741,0.022,,25.679,25.948,,,25.506,8.006,,1.703,2.139,88.165,1.42,3.774,25.657,25.515,25.242,68.642,1.851,1.549,26.773,2.193,25.568,,25.563,2.411,0.054
2018-10-08 00:12:00,1.805,0.024,2.355,3.305,2.721,,0.612,1.253,2.126,0.013,1.584,,25.595,0.027,0.008,2.252,1.274,6.791,25.086,0.024,,25.682,25.216,,,25.509,8.3,,1.7,2.15,88.165,1.422,3.812,25.66,25.515,25.24,68.47,1.848,1.562,24.485,2.147,25.892,,25.356,2.454,0.054
2018-10-08 00:13:00,1.829,0.024,2.352,3.322,2.643,,0.617,1.258,2.196,0.016,1.6,,25.593,0.022,0.005,2.247,1.263,6.894,25.143,0.022,,25.676,24.628,,,25.509,8.572,,1.7,2.15,88.165,1.42,3.793,25.655,25.515,25.24,68.745,1.848,1.546,24.036,2.177,25.466,,25.0,2.468,0.065
2018-10-08 00:14:00,1.856,0.027,2.355,3.332,2.546,,0.628,1.228,2.204,0.013,1.571,,25.595,0.024,0.011,2.223,1.277,6.821,24.895,0.024,,25.682,26.32,,,25.509,8.486,,1.7,2.152,88.165,1.417,3.782,25.657,25.509,25.24,68.594,1.848,1.571,23.842,2.136,25.913,,25.679,2.457,0.067
2018-10-08 00:15:00,1.813,0.032,2.355,3.319,2.6,,0.625,1.298,2.174,0.016,1.573,,25.593,0.027,0.008,2.338,1.298,6.765,24.714,0.022,,25.679,25.143,,,25.512,8.788,,1.7,2.142,88.165,1.422,3.766,25.66,25.512,25.24,68.58,1.851,1.552,26.315,2.169,25.873,,25.582,2.627,0.07
2018-10-08 00:16:00,1.827,0.019,2.357,3.303,2.57,,0.63,1.223,2.233,0.019,1.6,,25.593,0.027,0.003,2.206,1.325,6.959,24.752,0.022,,25.679,25.609,,,25.509,7.966,,1.7,2.152,88.165,1.414,3.758,25.657,25.512,25.242,68.691,1.848,1.536,24.995,2.169,25.733,,25.673,2.651,0.067
2018-10-08 00:17:00,1.905,0.024,2.352,3.319,2.672,,0.614,1.247,2.158,0.013,1.541,,25.587,0.027,0.005,2.284,1.371,6.991,26.088,0.03,,25.679,26.126,,,25.506,8.281,,1.697,2.144,88.165,1.414,3.772,25.66,25.512,25.242,68.739,1.851,1.562,27.26,2.179,25.008,,24.995,2.683,0.067
2018-10-08 00:18:00,1.915,0.027,2.344,3.322,2.662,,0.612,1.25,2.179,0.016,1.557,,25.59,0.032,0.005,2.206,1.387,6.864,25.555,0.022,,25.676,25.005,,,25.506,8.473,,1.697,2.158,88.165,1.417,3.691,25.66,25.512,25.245,69.251,1.853,1.557,26.546,2.19,25.477,,26.04,2.726,0.07
2018-10-08 00:19:00,1.961,0.027,2.352,3.192,2.61,,0.617,1.193,2.12,0.011,1.619,,25.59,0.027,0.005,2.306,1.393,6.843,26.105,0.022,,25.679,25.404,,,25.506,8.947,,1.703,2.147,88.165,1.412,3.726,25.663,25.515,25.242,68.669,1.853,1.562,27.403,2.19,25.493,,25.439,2.608,0.07
2018-10-08 00:20:00,1.913,0.038,2.352,3.324,2.608,,0.622,1.18,2.225,0.008,1.603,,25.587,0.024,0.003,2.295,1.404,6.862,24.903,0.024,,25.682,24.591,,,25.506,9.588,,1.7,2.15,88.165,1.414,3.761,25.66,25.512,25.24,69.321,1.851,1.538,24.919,2.244,25.445,,25.248,2.573,0.07
2018-10-08 00:21:00,1.864,0.027,2.349,3.273,2.551,,0.617,1.145,2.228,0.011,1.614,,25.587,0.022,0.005,2.163,1.417,6.878,24.865,0.022,,25.679,25.145,,,25.504,8.93,,1.703,2.152,88.165,1.42,3.79,25.66,25.512,25.242,68.303,1.851,1.606,24.838,2.182,25.28,,25.768,2.672,0.07
2018-10-08 00:22:00,1.816,0.038,2.338,3.322,2.573,,0.625,1.118,2.196,0.008,1.514,,25.587,0.027,0.003,2.185,1.325,6.821,26.161,0.027,,25.682,25.749,,,25.504,9.774,,1.703,2.155,88.165,1.417,3.742,25.663,25.512,25.24,69.049,1.845,1.538,27.336,2.217,25.523,,25.345,2.575,0.065
2018-10-08 00:23:00,1.902,0.022,2.349,3.322,2.597,,0.625,1.121,2.169,0.011,1.482,,25.587,0.03,,2.139,1.325,6.918,24.811,0.022,,25.682,25.935,,,25.501,11.131,,1.7,2.155,88.165,1.412,3.78,25.663,25.515,25.237,68.702,1.845,1.536,24.235,2.26,25.962,,26.043,2.505,0.065
2018-10-08 00:24:00,1.886,0.027,2.352,3.316,2.578,,0.628,1.061,2.169,0.008,1.503,,25.585,0.027,0.0,2.239,1.307,6.888,25.391,0.022,,25.679,24.607,,,25.501,10.342,,1.697,2.152,88.165,1.412,3.788,25.665,25.509,25.237,67.926,1.845,1.562,27.511,2.26,25.213,,25.727,2.473,0.065
2018-10-08 00:25:00,1.824,0.027,2.349,3.314,2.648,,0.617,1.024,2.252,0.011,1.511,,25.579,0.024,0.003,2.341,1.282,6.875,25.776,0.022,,25.676,24.704,,,25.498,10.566,,1.7,2.155,88.165,1.417,3.75,25.663,25.512,25.237,68.866,1.848,1.56,24.69,2.266,25.286,,26.102,2.492,0.067
2018-10-08 00:26:00,1.894,0.022,2.349,3.311,2.645,,0.63,0.97,2.169,0.008,1.525,,25.585,0.019,0.003,2.387,1.309,6.837,25.851,0.024,,25.682,26.034,,,25.501,10.202,,1.703,2.152,88.165,1.414,3.796,25.665,25.509,25.237,69.17,1.848,1.554,27.223,2.314,25.496,,24.693,2.443,0.067
2018-10-08 00:27:00,1.832,0.03,2.349,3.314,2.664,,0.638,0.849,2.185,0.013,1.468,,25.585,0.024,0.0,2.309,1.342,6.716,25.838,0.022,,25.676,26.245,,,25.501,10.358,,1.697,2.15,88.165,1.417,3.798,25.665,25.509,25.242,68.72,1.853,1.562,25.932,2.247,26.587,,24.776,2.381,0.067
2018-10-08 00:28:00,1.878,0.019,2.349,3.311,2.635,,0.633,0.811,2.198,0.008,1.487,,25.582,0.024,0.003,2.244,1.369,6.724,24.906,0.022,,25.676,25.884,,,25.501,10.366,,1.7,2.144,88.165,1.412,3.809,25.665,25.512,25.237,69.071,1.848,1.546,27.538,2.298,25.186,,24.806,2.414,0.07
2018-10-08 00:29:00,1.778,0.024,2.352,3.314,2.697,,0.63,0.8,2.163,0.011,1.476,,25.582,0.027,0.0,2.104,1.298,6.63,26.156,0.022,,25.679,25.595,,,25.504,10.172,,1.697,2.15,88.165,1.417,3.763,25.668,25.512,25.237,68.696,1.845,1.541,27.53,2.252,24.903,,24.693,2.368,0.067
2018-10-08 00:30:00,1.762,0.024,2.349,3.316,2.705,,0.622,0.795,2.247,0.013,1.447,,25.585,0.027,0.003,2.085,1.277,6.719,24.952,0.024,,25.676,24.572,,,25.509,9.892,,1.697,2.15,88.165,1.42,3.831,25.665,25.509,25.237,69.364,1.845,1.549,27.538,2.236,25.52,,24.89,2.384,0.065
2018-10-08 00:31:00,1.829,0.022,2.352,3.314,2.721,,0.595,0.73,2.249,0.011,1.463,,25.585,0.022,0.005,2.344,1.239,6.614,26.072,0.022,,25.679,26.193,,,25.509,10.296,,1.697,2.15,88.165,1.417,3.804,25.665,25.512,25.237,67.893,1.845,1.557,24.806,2.179,25.919,,25.323,2.4,0.067
2018-10-08 00:32:00,1.759,0.027,2.355,3.314,2.654,,0.598,0.754,2.293,0.011,1.436,,25.582,0.03,0.008,2.387,1.226,6.63,24.855,0.022,,25.676,25.738,,,25.515,10.175,,1.7,2.161,88.165,1.42,3.809,25.668,25.512,25.24,69.407,1.845,1.565,25.978,2.206,26.026,,26.142,2.403,0.065
2018-10-08 00:33:00,1.746,0.019,2.338,3.311,2.608,,0.606,0.762,2.282,0.011,1.441,,25.582,0.027,0.003,2.287,1.245,6.783,25.577,0.024,,25.679,25.224,,,25.515,10.506,,1.7,2.161,88.165,1.417,3.852,25.663,25.515,25.237,68.389,1.845,1.552,23.825,2.152,24.914,,25.598,2.384,0.065
