,001e0610ba46,001e0610ba15,001e0610ee33,001e0610ee82,001e0610ef27,001e061135cb,001e06113ad8,001e06112e77,001e0610f6db,001e06113107,001e06114fd4,001e0610e539,001e0610f703,001e0610e835,001e0610eef2,001e0610ee43,001e0610f05c,001e0610e537,001e06109416,001e06114503,001e06113dbc,001e061144c0,001e06113cf1,001e06113acb,001e06113f54,001e06114500,001e0610ba13
2018-10-08 00:00:00,,0.0722,,,,,0.00178,,0.00348,0.01744,0.0201,0.01861,0.10527,0.0091,,,0.00762,,,,,,0.00675,0.0255,,,0.12532
2018-10-08 00:01:00,,0.04078,,,,,0.00146,0.00661,0.02335,,0.02506,0.02512,0.13224,,,,0.01936,,,0.00716,,0.02218,,,,,0.11491
2018-10-08 00:02:00,,0.00683,,,,,0.00534,,0.02305,0.00859,0.02336,0.0116,0.15361,,,,0.00808,0.00083,,,,0.02263,0.02844,0.01895,,,0.10562
2018-10-08 00:03:00,,0.01794,,,,,0.02085,0.00108,,0.04233,0.0394,0.01421,0.15151,,,0.00389,0.0034,0.00424,,,,0.01855,0.0043,0.02642,,,0.07105
2018-10-08 00:04:00,,0.04003,,,,,0.01066,,0.00858,,0.00334,,0.13288,,,0.00462,,0.01658,,,,0.00868,0.00703,,,,0.05938
2018-10-08 00:05:00,,0.01165,,,,,,,0.00709,,0.01925,0.00966,0.17381,,,0.03298,0.00566,0.01633,,0.01914,,0.02173,0.00641,0.00259,,,0.10989
2018-10-08 00:06:00,,0.02899,,,,,,0.01272,,0.0206,0.00837,0.01829,0.18019,,,0.01178,,0.00197,,,,0.01077,0.00329,0.02752,,,0.08376
2018-10-08 00:07:00,,0.01775,,,,,,,,0.04245,0.00863,,0.13783,,,0.01183,,,,0.01295,,,0.01199,0.00167,,,0.05727
2018-10-08 00:08:00,,0.04384,,,,,0.01943,,,0.05831,0.03256,,0.16201,,,0.00326,0.03576,,,,,0.00922,0.01694,0.02699,,0.01353,0.09448
2018-10-08 00:09:00,,0.00097,,,,,0.05593,,,,,0.01117,0.13483,,,0.00904,0.01853,0.00932,,,,0.03286,0.00988,0.00843,,,0.10131
2018-10-08 00:10:00,,0.04433,,,,,0.00327,,,,,0.01123,0.19535,,,,0.02054,0.00522,,,,0.01303,0.00673,0.00828,,,0.11138
2018-10-08 00:11:00,,,,,,,0.00574,,,0.02377,0.00158,0.02252,0.22778,,,,0.00431,,,,,,0.04558,,,,0.10534
2018-10-08 00:12:00,,0.02437,,,,,0.03767,0.08917,,0.02361,,0.02706,0.2079,,,,0.01091,,,,,,,0.00376,,,0.0827
2018-10-08 00:13:00,,,,,,,0.01099,0.06255,,0.00358,0.01129,0.04458,0.18482,0.01452,,,,,,,,0.01074,0.03942,,,,0.10493
2018-10-08 00:14:00,,0.03051,,,,,0.00287,,,0.01591,,0.01483,0.14279,0.00795,,0.00487,0.03725,0.00653,,,,0.02244,0.0205,,,2e-05,0.12686
2018-10-08 00:15:00,,0.07886,,,,,0.01265,,,0.00063,,0.02267,0.22577,0.02529,,,0.03194,0.03334,,,,,,0.00387,,,0.08697
2018-10-08 00:16:00,0.01544,0.03548,,,,,0.05253,,,0.03264,0.02192,0.01159,0.19363,,,,0.01747,0.00081,,,,,,0.00728,,,0.10452
2018-10-08 00:17:00,,0.0058,,,,,0.00095,,0.01892,0.00307,,0.028,0.20654,,,0.00731,0.05625,,,,,,,,,,0.07571
2018-10-08 00:18:00,,0.06478,,,,,0.00018,0.00829,0.03053,,0.02675,,0.1646,,,0.01629,0.04771,,,,,0.00468,0.02126,0.00848,,,0.08382
2018-10-08 00:19:00,,0.04142,,,,,0.02896,0.0661,,0.0052,0.02205,,0.14497,,,,0.00842,,,0.00602,,0.01083,0.01801,0.0177,,0.01121,0.14463
2018-10-08 00:20:00,,0.05289,,,,,,0.03866,,0.00743,0.03894,0.02304,0.18396,,,0.00125,,0.01683,,,,,,0.0242,,0.01532,0.06863
2018-10-08 00:21:00,,0.01901,,,,,,0.04072,,0.01163,,,0.22709,,,,0.02207,,,,,0.0045,0.0051,0.03205,,0.01673,0.13355
2018-10-08 00:22:00,,0.03444,,,,,0.01093,,,0.01549,0.00027,,0.14707,,,,0.03074,,,0.00329,,0.00388,0.01798,,,,0.10038
2018-10-08 00:23:00,,,,,,,0.02786,,,0.00603,0.02193,,0.18481,0.01071,,,0.01582,,,,,0.00261,0.01387,0.00693,,,0.12925
2018-10-08 00:24:00,,0.00708,,,,,,,,0.0315,0.01867,,0.1634,,,0.03196,0.0348,0.0084,,,,0.01108,0.01103,0.04448,,,0.13823
2018-10-08 00:25:00,,0.01971,,,,,0.00103,0.02454,,0.02507,,,0.17253,,,0.00291,0.0139,,,,,0.00262,0.02082,0.00385,,0.0027,0.08418
2018-10-08 00:26:00,,0.01064,,,,,0.00488,,,0.0187,,0.01746,0.19613,,,,0.05196,,,,,0.00673,,,,,0.09036
