,001e0610ba46,001e0610ba15,001e0610ee33,001e0610ee82,001e0610ef27,001e061135cb,001e06113ad8,001e06112e77,001e0610f6db,001e06113107,001e06114fd4,001e0610e539,001e0610f703,001e0610e835,001e0610eef2,001e0610ee43,001e0610f05c,001e0610e537,001e06109416,001e06114503,001e06113dbc,001e061144c0,001e06113cf1,001e06113acb,001e06113f54,001e06114500,001e0610ba13
2018-10-08 00:00:00,0.01912,,,,,,0.02549,0.00973,0.01206,0.00519,2e-05,0.00168,,0.01952,,,0.01374,,0.0465,0.00493,,0.00048,0.00931,0.01886,0.00154,,0.03729
2018-10-08 00:01:00,0.01038,,,,,,0.018,0.02126,0.00563,0.01405,,0.00296,,0.04718,0.00114,,0.02743,,0.045,0.01171,,0.00809,0.01588,0.02263,0.00415,,0.02147
2018-10-08 00:02:00,0.01958,,,,,,0.02337,0.00156,0.01422,0.00802,,0.00512,,0.00136,,,0.02393,0.00452,0.04889,0.00788,,0.00255,0.01577,0.01976,0.00216,,0.00517
2018-10-08 00:03:00,0.00295,,,,,,0.02082,0.00345,,0.02078,0.00204,0.01385,,,0.01802,,0.02459,,0.05591,0.00479,,0.02193,0.02361,0.02294,0.01712,,0.04854
2018-10-08 00:04:00,0.00939,,,,,,0.02938,0.00106,0.00361,0.01215,,,,,0.00266,,0.01761,,0.03792,,,0.00469,0.0296,0.01508,0.01965,,0.00616
2018-10-08 00:05:00,0.01643,,,,,,0.02925,0.00461,0.01182,0.01756,0.01268,,,0.02831,0.01503,,0.01096,,0.03899,,,0.00514,,0.029,0.00532,,0.0013
2018-10-08 00:06:00,0.01762,,,,,,0.02161,0.0121,0.00832,0.00619,,,,0.01076,0.00714,,0.00662,,0.03258,0.00143,,0.00285,0.00371,0.01702,0.00349,,0.00711
2018-10-08 00:07:00,0.00681,,,,,,0.02262,0.01189,,0.01724,,0.0113,,0.01779,0.00369,,0.01455,,0.02746,,,0.0013,0.0122,0.01566,0.0007,,0.0027
2018-10-08 00:08:00,0.00806,,,,,,0.02088,0.00515,,0.01916,,0.01463,,,0.00289,,0.00123,,0.03526,0.00013,,0.01507,0.01245,0.02761,0.00787,,0.01929
2018-10-08 00:09:00,0.00718,,,,,,0.05963,0.0092,0.00383,0.01533,,0.01145,,,0.00095,,0.00803,,0.04274,0.00802,,0.01109,0.02067,0.01641,0.00386,,0.02182
2018-10-08 00:10:00,0.00543,,,,,,0.03568,0.01021,,0.01559,0.0031,,,0.00385,0.00125,,0.01445,,0.04196,0.00819,,0.00908,0.02574,0.00704,0.00466,,
2018-10-08 00:11:00,0.02243,,,,,,0.01954,0.00301,0.0023,0.00728,0.00191,,,0.03843,0.00153,,0.01184,,0.0555,0.0051,,0.01486,0.00441,0.00702,0.01343,,0.01186
2018-10-08 00:12:00,0.01122,,,,,,0.01328,0.00802,,0.01402,,,,0.01941,,,0.01827,,0.03181,0.01094,,0.01624,2e-05,0.01874,0.01839,,0.01107
2018-10-08 00:13:00,0.01661,,,,,,0.00873,1e-05,0.00417,0.01994,0.00568,0.00034,,0.0013,0.00129,,0.03208,,0.04858,,,0.00695,0.00353,0.0201,0.0012,,0.0188
2018-10-08 00:14:00,0.00683,,,,,,0.01404,0.0047,,0.02534,0.00463,0.00304,,0.01679,0.01351,,0.02132,,0.04023,0.00551,,0.01684,0.01324,0.01181,0.00551,,0.01592
2018-10-08 00:15:00,,,,,,,0.0264,,0.01721,0.028,,,,0.02532,0.02114,,0.0243,,0.03113,0.00487,,0.00403,0.02078,0.02126,0.0036,,0.00245
2018-10-08 00:16:00,0.00898,,,,,,0.02061,0.00363,0.00271,0.00347,,,,0.01804,0.01265,,0.01682,0.00213,0.04045,,,0.00785,0.01117,0.02115,,,
2018-10-08 00:17:00,0.01074,,,,,,0.01894,,0.00254,0.00501,,0.00221,,0.02049,0.00392,,0.01771,,0.05149,0.0033,,0.00678,0.00182,0.01766,0.02769,,
2018-10-08 00:18:00,0.00916,,,,,,0.01621,0.00295,0.0089,0.00975,,,,0.00035,0.00589,,0.00631,,0.0534,0.00067,,0.01224,0.0146,0.01076,0.02387,,
2018-10-08 00:19:00,0.00518,,,,,,0.01733,0.01006,,0.00914,,0.00441,,0.01127,0.00887,,0.00201,,0.04135,0.00654,,0.00749,0.01012,0.03971,0.01672,,0.01344
2018-10-08 00:20:00,,,,,,,0.01403,0.00155,0.00678,,0.00689,,,0.00523,0.02226,,0.00718,,0.04539,0.00255,,0.01503,0.01556,0.02934,0.02068,,0.01802
2018-10-08 00:21:00,0.00302,,,,,,0.01464,,0.00367,0.00669,0.00667,,,0.01645,0.00464,,0.02039,,0.04496,,,0.00557,0.00795,0.0309,0.00722,,0.01815
2018-10-08 00:22:00,,,,,,,0.01828,0.00055,0.0015,0.01231,,,,0.01723,0.01273,,0.0173,,0.04002,,,0.00857,0.01472,0.03076,,,0.0167
2018-10-08 00:23:00,,,,,,,0.02266,,0.0247,0.00445,0.00421,0.01715,,0.01265,0.00807,,0.01206,,0.04929,0.00177,,,0.0077,0.02442,0.01115,,0.03689
2018-10-08 00:24:00,0.01727,,,,,,0.0211,,0.01349,0.01493,0.01108,0.0023,,0.00564,0.01286,,0.01395,0.00906,0.05307,0.00038,,0.00679,0.00544,0.01603,,,0.01197
2018-10-08 00:25:00,0.00893,,,,,,0.01561,,0.01203,0.02128,0.01761,0.01332,,,0.01801,,0.00753,0.00641,0.06054,0.00172,,0.00556,0.02168,0.01927,0.01965,,0.00922
2018-10-08 00:26:00,0.00335,,,,,,0.01653,0.00499,,0.02424,0.00062,,,0.00743,0.03546,,0.0097,,0.05374,,,,0.01614,0.02023,0.01634,,0.01064
2018-10-08 00:27:00,0.00494,,,,,,0.01627,0.00178,,0.00014,0.01689,0.00705,,,0.00335,,0.02321,,0.04329,,,0.00904,0.00938,0.04235,0.01233,,0.02395
2018-10-08 00:28:00,,,,,,,0.00832,0.0062,,0.01111,0.00148,,,,,,0.02199,,0.03769,,,0.00027,0.01543,0.03788,0.0117,,0.01544
2018-10-08 00:29:00,0.00366,,,,,,0.02015,0.01164,,0.02374,,,,0.031,0.0141,,0.02714,,0.03872,,,0.01218,0.02135,0.01861,0.00685,,0.01018
2018-10-08 00:30:00,0.00112,,,,,,0.03196,0.01613,,0.00186,,,,0.00682,0.00728,,0.01481,,0.05009,,,0.01779,0.02019,0.01909,0.015,,
2018-10-08 00:31:00,0.01557,,,,,,0.0233,0.0153,,0.02967,,0.01551,,0.05178,0.00473,,0.0317,,0.04385,0.00255,,0.01792,0.01924,0.0353,0.0106,,0.0002
2018-10-08 00:32:00,0.00772,,,,,,0.01592,,,0.0223,0.0002,3e-05,,0.03133,0.01036,,0.02518,,0.06746,0.00575,,0.01778,0.02304,0.01863,0.00151,,
2018-10-08 00:33:00,,,,,,,0.02137,,0.00337,0.01911,0.00355,,,0.00124,,,0.02122,,0.04905,,,,0.02732,0.00976,0.02557,,
2018-10-08 00:34:00,0.00405,,,,,,0.01208,0.00344,0.01038,9e-05,,,,0.0331,0.00825,,0.00603,,0.06891,,,0.01127,0.02073,0.01455,0.03057,,
2018-10-08 00:35:00,0.0036,,,,,,0.02048,0.00776,0.01051,0.01305,,,,0.02714,0.01002,,0.02117,,0.05161,0.00513,,0.01078,0.01189,0.01752,0.01762,,
